1,Hydrogen,H,1.007,0,1,1,1,1,gas,Nonmetal,0.79,8.99E-05,14.175,20.28,Cavendish,1766
2,Helium,He,4.002,2,2,2,1,18,gas,Noble Gas,0.49,1.79E-04,N/A,4.22,Janssen,1868
3,Lithium,Li,6.941,4,3,3,2,1,solid,Alkali Metal,2.1,5.34E-01,453.85,1615,Arfvedson,1817
4,Beryllium,Be,9.012,5,4,4,2,2,solid,Alkaline Earth Metal,1.4,1.85E+00,1560.15,2742,Vaulquelin,1798
5,Boron,B,10.811,6,5,5,2,13,solid,Metalloid,1.2,2.34E+00,2573.15,4200,Gay-Lussac,1808
6,Carbon,C,12.011,6,6,6,2,14,solid,Nonmetal,0.91,2.27E+00,3948.15,4300,Prehistoric,N/A
7,Nitrogen,N,14.007,7,7,7,2,15,gas,Nonmetal,0.75,1.25E-03,63.29,77.36,Rutherford,1772
8,Oxygen,O,15.999,8,8,8,2,16,gas,Nonmetal,0.65,1.43E-03,50.5,90.2,Priestley/Scheele,1774
9,Fluorine,F,18.998,10,9,9,2,17,gas,Halogen,0.57,1.70E-03,53.63,85.03,Moissan,1886
10,Neon,Ne,20.18,10,10,10,2,18,gas,Noble Gas,0.51,9.00E-04,24.703,27.07,Ramsay and Travers,1898
11,Sodium,Na,22.99,12,11,11,3,1,solid,Alkali Metal,2.2,9.71E-01,371.15,1156,Davy,1807
12,Magnesium,Mg,24.305,12,12,12,3,2,solid,Alkaline Earth Metal,1.7,1.74E+00,923.15,1363,Black,1755
13,Aluminum,Al,26.982,14,13,13,3,13,solid,Metal,1.8,2.70E+00,933.4,2792,Wshler,1827
14,Silicon,Si,28.086,14,14,14,3,14,solid,Metalloid,1.5,2.33E+00,1683.15,3538,Berzelius,1824
15,Phosphorus,P,30.974,16,15,15,3,15,solid,Nonmetal,1.2,1.82E+00,317.25,553,BranBrand,1669
16,Sulfur,S,32.065,16,16,16,3,16,solid,Nonmetal,1.1,2.07E+00,388.51,717.8,Prehistoric,N/A
17,Chlorine,Cl,35.453,18,17,17,3,17,gas,Halogen,0.97,3.21E-03,172.31,239.11,Scheele,1774
18,Argon,Ar,39.948,22,18,18,3,18,gas,Noble Gas,0.88,1.78E-03,83.96,87.3,Rayleigh and Ramsay,1894
19,Potassium,K,39.098,20,19,19,4,1,solid,Alkali Metal,2.8,8.62E-01,336.5,1032,Davy,1807
20,Calcium,Ca,40.078,20,20,20,4,2,solid,Alkaline Earth Metal,2.2,1.54E+00,1112.15,1757,Davy,1808
21,Scandium,Sc,44.956,24,21,21,4,3,solid,Transition Metal,2.1,2.99E+00,1812.15,3109,Nilson,1878
22,Titanium,Ti,47.867,26,22,22,4,4,solid,Transition Metal,2,4.54E+00,1933.15,3560,Gregor,1791
23,Vanadium,V,50.942,28,23,23,4,5,solid,Transition Metal,1.9,6.11E+00,2175.15,3680,   del Rio,1801
24,Chromium,Cr,51.996,28,24,24,4,6,solid,Transition Metal,1.9,7.15E+00,2130.15,2944,Vauquelin,1797
25,Manganese,Mn,54.938,30,25,25,4,7,solid,Transition Metal,1.8,7.44E+00,1519.15,2334,"Gahn, Scheele",1774
26,Iron,Fe,55.845,30,26,26,4,8,solid,Transition Metal,1.7,7.87E+00,1808.15,3134,Prehistoric,N/A
27,Cobalt,Co,58.933,32,27,27,4,9,solid,Transition Metal,1.7,8.86E+00,1768.15,3200,Brandt,1735
28,Nickel,Ni,58.693,31,28,28,4,10,solid,Transition Metal,1.6,8.91E+00,1726.15,3186,Cronstedt,1751
29,Copper,Cu,63.546,35,29,29,4,11,solid,Transition Metal,1.6,8.96E+00,1357.75,2835,Prehistoric,N/A
30,Zinc,Zn,65.38,35,30,30,4,12,solid,Transition Metal,1.5,7.13E+00,692.88,1180,Prehistoric,N/A
31,Gallium,Ga,69.723,39,31,31,4,13,solid,Metal,1.8,5.91E+00,302.91,2477,de Boisbaudran,1875
32,Germanium,Ge,72.64,41,32,32,4,14,solid,Metalloid,1.5,5.32E+00,1211.45,3106,Winkler,1886
33,Arsenic,As,74.922,42,33,33,4,15,solid,Metalloid,1.3,5.78E+00,1090.15,887,Albertus Magnus,1250
34,Selenium,Se,78.96,45,34,34,4,16,solid,Nonmetal,1.2,4.81E+00,494.15,958,Berzelius,1817
35,Bromine,Br,79.904,45,35,35,4,17,liq,Halogen,1.1,3.12E+00,266.05,332,Balard,1826
36,Krypton,Kr,83.798,48,36,36,4,18,gas,Noble Gas,1,3.73E-03,115.93,119.93,Ramsay and Travers,1898
37,Rubidium,Rb,85.468,48,37,37,5,1,solid,Alkali Metal,3,1.53E+00,312.79,961,Bunsen and Kirchoff,1861
38,Strontium,Sr,87.62,50,38,38,5,2,solid,Alkaline Earth Metal,2.5,2.64E+00,1042.15,1655,Davy,1808
39,Yttrium,Y,88.906,50,39,39,5,3,solid,Transition Metal,2.3,4.47E+00,1799.15,3609,Gadolin,1794
40,Zirconium,Zr,91.224,51,40,40,5,4,solid,Transition Metal,2.2,6.51E+00,2125.15,4682,Klaproth,1789
41,Niobium,Nb,92.906,52,41,41,5,5,solid,Transition Metal,2.1,8.57E+00,2741.15,5017,Hatchett,1801
42,Molybdenum,Mo,95.96,54,42,42,5,6,solid,Transition Metal,2,1.02E+01,2890.15,4912,Scheele,1778
43,Technetium,Tc,98,55,43,43,5,7,artificial,Transition Metal,2,1.15E+01,2473.15,5150,Perrier and Segrï¿½,1937
44,Ruthenium,Ru,101.07,57,44,44,5,8,solid,Transition Metal,1.9,1.24E+01,2523.15,4423,Klaus,1844
45,Rhodium,Rh,102.906,58,45,45,5,9,solid,Transition Metal,1.8,1.24E+01,2239.15,3968,Wollaston,1803
46,Palladium,Pd,106.42,60,46,46,5,10,solid,Transition Metal,1.8,1.20E+01,1825.15,3236,Wollaston,1803
47,Silver,Ag,107.868,61,47,47,5,11,solid,Transition Metal,1.8,1.05E+01,1234.15,2435,Prehistoric,N/A
48,Cadmium,Cd,112.411,64,48,48,5,12,solid,Transition Metal,1.7,8.69E+00,594.33,1040,Stromeyer,1817
49,Indium,In,114.818,66,49,49,5,13,solid,Metal,2,7.31E+00,429.91,2345,Reich and Richter,1863
50,Tin,Sn,118.71,69,50,50,5,14,solid,Metal,1.7,7.29E+00,505.21,2875,Prehistoric,N/A
51,Antimony,Sb,121.76,71,51,51,5,15,solid,Metalloid,1.5,6.69E+00,904.05,1860,Early historic times,N/A
52,Tellurium,Te,127.6,76,52,52,5,16,solid,Metalloid,1.4,6.23E+00,722.8,1261,von Reichenstein,1782
53,Iodine,I,126.904,74,53,53,5,17,solid,Halogen,1.3,4.93E+00,386.65,457.4,Courtois,1811
54,Xenon,Xe,131.293,77,54,54,5,18,gas,Noble Gas,1.2,5.89E-03,161.45,165.03,Ramsay and Travers,1898
55,Cesium,Cs,132.905,78,55,55,6,1,solid,Alkali Metal,3.3,1.87E+00,301.7,944,Bunsen and Kirchoff,1860
56,Barium,Ba,137.327,81,56,56,6,2,solid,Alkaline Earth Metal,2.8,3.59E+00,1002.15,2170,Davy,1808
57,Lanthanum,La,138.905,82,57,57,6,3,solid,Lanthanide,2.7,6.15E+00,1193.15,3737,Mosander,1839
58,Cerium,Ce,140.116,82,58,58,6,N/A,solid,Lanthanide,2.7,6.77E+00,1071.15,3716,Berzelius,1803
59,Praseodymium,Pr,140.908,82,59,59,6,N/A,solid,Lanthanide,2.7,6.77E+00,1204.15,3793,von Welsbach,1885
60,Neodymium,Nd,144.242,84,60,60,6,N/A,solid,Lanthanide,2.6,7.01E+00,1289.15,3347,von Welsbach,1885
61,Promethium,Pm,145,84,61,61,6,N/A,artificial,Lanthanide,2.6,7.26E+00,1204.15,3273,Marinsky et al.,1945
62,Samarium,Sm,150.36,88,62,62,6,N/A,solid,Lanthanide,2.6,7.52E+00,1345.15,2067,Boisbaudran,1879
63,Europium,Eu,151.964,89,63,63,6,N/A,solid,Lanthanide,2.6,5.24E+00,1095.15,1802,Demarcay,1901
64,Gadolinium,Gd,157.25,93,64,64,6,N/A,solid,Lanthanide,2.5,7.90E+00,1585.15,3546,de Marignac,1880
65,Terbium,Tb,158.925,94,65,65,6,N/A,solid,Lanthanide,2.5,8.23E+00,1630.15,3503,Mosander,1843
66,Dysprosium,Dy,162.5,97,66,66,6,N/A,solid,Lanthanide,2.5,8.55E+00,1680.15,2840,de Boisbaudran,1886
67,Holmium,Ho,164.93,98,67,67,6,N/A,solid,Lanthanide,2.5,8.80E+00,1743.15,2993,Delafontaine and Soret,1878
68,Erbium,Er,167.259,99,68,68,6,N/A,solid,Lanthanide,2.5,9.07E+00,1795.15,3503,Mosander,1843
69,Thulium,Tm,168.934,100,69,69,6,N/A,solid,Lanthanide,2.4,9.32E+00,1818.15,2223,Cleve,1879
70,Ytterbium,Yb,173.054,103,70,70,6,N/A,solid,Lanthanide,2.4,6.97E+00,1097.15,1469,Marignac,1878
71,Lutetium,Lu,174.967,104,71,71,6,N/A,solid,Lanthanide,2.3,9.84E+00,1936.15,3675,Urbain/ von Welsbach,1907
72,Hafnium,Hf,178.49,106,72,72,6,4,solid,Transition Metal,2.2,1.33E+01,2500.15,4876,Coster and von Hevesy,1923
73,Tantalum,Ta,180.948,108,73,73,6,5,solid,Transition Metal,2.1,1.67E+01,3269.15,5731,Ekeberg,1801
74,Wolfram,W,183.84,110,74,74,6,6,solid,Transition Metal,2,1.93E+01,3680.15,5828,J. and F. d'Elhuyar,1783
75,Rhenium,Re,186.207,111,75,75,6,7,solid,Transition Metal,2,2.10E+01,3453.15,5869,"Noddack, Berg, and Tacke",1925
76,Osmium,Os,190.23,114,76,76,6,8,solid,Transition Metal,1.9,2.26E+01,3300.15,5285,Tennant,1803
77,Iridium,Ir,192.217,115,77,77,6,9,solid,Transition Metal,1.9,2.26E+01,2716.15,4701,Tennant,1804
78,Platinum,Pt,195.084,117,78,78,6,10,solid,Transition Metal,1.8,2.15E+01,2045.15,4098,Ulloa/Wood,1735
79,Gold,Au,196.967,118,79,79,6,11,solid,Transition Metal,1.8,1.93E+01,1337.73,3129,Prehistoric,N/A
80,Mercury,Hg,200.59,121,80,80,6,12,liq,Transition Metal,1.8,1.35E+01,234.43,630,Prehistoric,N/A
81,Thallium,Tl,204.383,123,81,81,6,13,solid,Metal,2.1,1.19E+01,577.15,1746,Crookes,1861
82,Lead,Pb,207.2,125,82,82,6,14,solid,Metal,1.8,1.13E+01,600.75,2022,Prehistoric,N/A
83,Bismuth,Bi,208.98,126,83,83,6,15,solid,Metal,1.6,9.81E+00,544.67,1837,Geoffroy the Younger,1753
84,Polonium,Po,210,126,84,84,6,16,solid,Metalloid,1.5,9.32E+00,527.15,1235,Curie,1898
85,Astatine,At,210,125,85,85,6,17,solid,Noble Gas,1.4,7.00E+00,575.15,610,Corson et al.,1940
86,Radon,Rn,222,136,86,86,6,18,gas,Alkali Metal,1.3,9.73E-03,202.15,211.3,Dorn,1900
87,Francium,Fr,223,136,87,87,7,1,solid,Alkaline Earth Metal,N/A,1.87E+00,300.15,950,Perey,1939
88,Radium,Ra,226,138,88,88,7,2,solid,Actinide,N/A,5.50E+00,973.15,2010,Pierre and Marie Curie,1898
89,Actinium,Ac,227,138,89,89,7,3,solid,Actinide,N/A,1.01E+01,1323.15,3471,Debierne/Giesel,1899
90,Thorium,Th,232.038,142,90,90,7,N/A,solid,Actinide,N/A,1.17E+01,2028.15,5061,Berzelius,1828
91,Protactinium,Pa,231.036,140,91,91,7,N/A,solid,Actinide,N/A,1.54E+01,1873.15,4300,Hahn and Meitner,1917
92,Uranium,U,238.029,146,92,92,7,N/A,solid,Actinide,N/A,1.90E+01,1405.15,4404,Peligot,1841
93,Neptunium,Np,237,144,93,93,7,N/A,artificial,Actinide,N/A,2.05E+01,913.15,4273,McMillan and Abelson,1940
94,Plutonium,Pu,244,150,94,94,7,N/A,artificial,Actinide,N/A,1.98E+01,913.15,3501,Seaborg et al.,1940
95,Americium,Am,243,148,95,95,7,N/A,artificial,Actinide,N/A,1.37E+01,1267.15,2880,Seaborg et al.,1944
96,Curium,Cm,247,151,96,96,7,N/A,artificial,Actinide,N/A,1.35E+01,1340.15,3383,Seaborg et al.,1944
97,Berkelium,Bk,247,150,97,97,7,N/A,artificial,Actinide,N/A,1.48E+01,1259.15,983,Seaborg et al.,1949
98,Californium,Cf,251,153,98,98,7,N/A,artificial,Actinide,N/A,1.51E+01,1925.15,1173,Seaborg et al.,1950
99,Einsteinium,Es,252,153,99,99,7,N/A,artificial,Actinide,N/A,1.35E+01,1133.15,,Ghiorso et al.,1952
100,Fermium,Fm,257,157,100,100,7,N/A,artificial,Actinide,N/A,N/A,N/A,N/A,Ghiorso et al.,1953
101,Mendelevium,Md,258,157,101,101,7,N/A,artificial,Actinide,N/A,N/A,N/A,N/A,Ghiorso et al.,1955
102,Nobelium,No,259,157,102,102,7,N/A,artificial,Actinide,N/A,N/A,N/A,N/A,Ghiorso et al.,1958
103,Lawrencium,Lr,262,159,103,103,7,N/A,artificial,Actinide,N/A,N/A,N/A,N/A,Ghiorso et al.,1961
104,Rutherfordium,Rf,261,157,104,104,7,4,artificial,Transactinide,N/A,1.81E+01,N/A,N/A,Ghiorso et al.,1969
105,Dubnium,Db,262,157,105,105,7,5,artificial,Transactinide,N/A,3.90E+01,N/A,N/A,Ghiorso et al.,1970
106,Seaborgium,Sg,266,160,106,106,7,6,artificial,Transactinide,N/A,3.50E+01,N/A,N/A,Ghiorso et al.,1974
107,Bohrium,Bh,264,157,107,107,7,7,artificial,Transactinide,N/A,3.70E+01,N/A,N/A,Armbruster and Minzenberg,1981
108,Hassium,Hs,267,159,108,108,7,8,artificial,Transactinide,N/A,4.10E+01,N/A,N/A,Armbruster and Minzenberg,1983
109,Meitnerium,Mt,268,159,109,109,7,9,artificial,Transactinide,N/A,3.50E+01,N/A,N/A,"GSI, Darmstadt, West Germany",1982
110,Darmstadtium ,Ds ,271,161,110,110,7,10,artificial,Transactinide,N/A,N/A,N/A,N/A,N/A,1994
111,Roentgenium ,Rg ,272,161,111,111,7,11,artificial,Transactinide,N/A,N/A,N/A,N/A,N/A,1994
112,Copernicium ,Cn ,285,173,112,112,7,12,artificial,Transactinide,N/A,N/A,N/A,N/A,N/A,1996
113,Nihonium,Nh,284,171,113,113,7,13,artificial,N/A,N/A,N/A,N/A,N/A,N/A,2004
114,Flerovium,Fl,289,175,114,114,7,14,artificial,Transactinide,N/A,N/A,N/A,N/A,N/A,1999
115,Moscovium,Mc,288,173,115,115,7,15,artificial,N/A,N/A,N/A,N/A,N/A,N/A,2010
116,Livermorium,Lv,292,176,116,116,7,16,artificial,Transactinide,N/A,N/A,N/A,N/A,N/A,2000
117,Tennessine,Ts,295,178,117,117,7,17,artificial,N/A,N/A,N/A,N/A,N/A,N/A,2010
118,Oganesson,Og,294,176,118,118,7,18,artificial,Noble Gas,N/A,N/A,N/A,N/A,N/A,2006
